controller,seed,CI,AI,delta,fracF,fracM,wingHz,aIPgHz,disp,finalX
male,1000,0.81714,0.51288,0.30426,0.7518,0.4513,6.5246,1.47884,1.92,0.4
male,1001,0.812065,0.554014,0.25805,0.7471,0.4875,6.7841,1.47698,2.04,-0.4
male,1002,0.838137,0.523137,0.315,0.7711,0.4604,6.1369,1.47791,2.16,-0.32
male,1003,0.82882,0.54635,0.28247,0.7625,0.4808,6.0553,1.52624,2.28,-0.24
male,1004,0.837171,0.55485,0.282321,0.7702,0.4883,6.2743,1.6662,2.4,-0.16
male,1005,0.842877,0.52978,0.313096,0.7754,0.4662,6.2895,1.44202,2.52,-0.08
male,1006,0.82374,0.544683,0.279056,0.7578,0.4793,6.5421,1.42119,2.64,0.0
male,1007,0.849912,0.562602,0.28731,0.7819,0.4951,6.5839,1.50839,2.76,0.08
male,1008,0.80598,0.548705,0.257275,0.7415,0.4829,5.9633,1.33595,1.8,0.16
male,1009,0.82624,0.527444,0.298796,0.7601,0.4642,6.4508,1.50298,1.92,0.24
male,1010,0.843621,0.551976,0.291645,0.7761,0.4857,6.4213,1.37685,2.04,0.32
male,1011,0.846069,0.554425,0.291645,0.7784,0.4879,6.4995,1.31505,2.16,0.4
male,1012,0.849017,0.563807,0.28521,0.7811,0.4962,6.3644,1.47313,2.28,-0.4
male,1013,0.853364,0.546239,0.307125,0.7851,0.4807,5.4834,1.38305,2.4,-0.32
male,1014,0.875679,0.569299,0.30638,0.8056,0.501,6.8505,1.3985,2.52,-0.24
male,1015,0.842169,0.577809,0.26436,0.7748,0.5085,6.3763,1.36872,2.64,-0.16
iso_only,1000,0.876871,0.137504,0.739366,0.8067,0.42,4.3579,0.00825,1.92,0.4
iso_only,1001,0.817523,0.149417,0.668106,0.7521,0.42,4.4064,0.00551,2.04,-0.4
iso_only,1002,0.807218,0.149143,0.658075,0.7426,0.42,4.1767,0.00709,2.16,-0.32
iso_only,1003,0.811613,0.151213,0.6604,0.7467,0.42,4.56,0.00631,2.28,-0.24
iso_only,1004,0.808026,0.169157,0.638869,0.7434,0.42,4.2173,0.00531,2.4,-0.16
iso_only,1005,0.811091,0.167245,0.643846,0.7462,0.42,5.1162,0.00675,2.52,-0.08
iso_only,1006,0.855167,0.173901,0.681266,0.7868,0.42,4.4461,0.00516,2.64,0.0
iso_only,1007,0.833336,0.161195,0.672141,0.7667,0.42,4.6469,0.00664,2.76,0.08
iso_only,1008,0.81143,0.15598,0.655449,0.7465,0.42,4.3981,0.00618,1.8,0.16
iso_only,1009,0.825565,0.155829,0.669736,0.7595,0.42,4.4918,0.00238,1.92,0.24
iso_only,1010,0.829162,0.159253,0.669909,0.7628,0.42,4.7355,0.00718,2.04,0.32
iso_only,1011,0.833602,0.162179,0.671424,0.7669,0.42,4.671,0.00291,2.16,0.4
